PlantID,Region,Status,Type
25058,L48,N,Native
25058,SPM,N,Native
86666,CAN,N,Native
86666,L48,N,Native
30604,CAN,N,Native
30604,L48,N,Native
30604,SPM,N,Native
64396,CAN,N,Native
64396,L48,N,Native
54898,CAN,N,Native
54898,L48,N,Native
86792,L48,N,Native
86903,CAN,N,Native
86903,L48,N,Native
86918,CAN,N,Native
86918,L48,N,Native
86860,CAN,N,Native
86860,L48,N,Native
29046,CAN,N,Native
29046,L48,N,Native
61162,CAN,N,Native
61162,L48,N,Native
86828,CAN,N,Native
86828,L48,N,Native
29031,CAN,N,Native
29031,L48,N,Native
86921,CAN,N,Native
86921,L48,N,Native
86892,CAN,N,Native
86892,L48,N,Native
61234,CAN,N,Native
61234,L48,N,Native
61191,AK,N,Native
61191,CAN,N,Native
61191,L48,N,Native
61308,CAN,N,Native
61308,L48,N,Native
61278,AK,N,Native
61278,CAN,N,Native
61278,L48,N,Native
61292,CAN,N,Native
61292,L48,N,Native
61206,CAN,N,Native
61206,L48,N,Native
61217,AK,N,Native
61217,CAN,N,Native
61217,L48,N,Native
61217,SPM,N,Native
61416,AK,I,Introduced
61416,CAN,I,Introduced
61416,GL,I,Introduced
61416,L48,N,Native
61416,SPM,I,Introduced
61364,CAN,N,Native
61364,L48,N,Native
61336,CAN,N,Native
61336,L48,N,Native
61554,CAN,N,Native
61554,L48,I,Introduced
61554,L48,N,Native
61528,AK,I?,Introduced
61528,CAN,N,Native
61528,L48,N,Native
61592,CAN,N,Native
61592,L48,N,Native
61540,CAN,N,Native
61540,L48,N,Native
61540,PR,N,Native
38988,CAN,N,Native
38988,L48,N,Native
61576,L48,N,Native
61590,CAN,N,Native
61590,L48,N,Native
14320,CAN,N,Native
14320,GL,N,Native
14320,L48,N,Native
14320,SPM,N,Native
13787,CAN,N,Native
13787,L48,N,Native
74477,L48,N,Native
13795,AK,N,Native
13795,CAN,N,Native
13795,L48,N,Native
13795,SPM,N,Native
13818,AK,N,Native
13818,CAN,N,Native
13818,GL,N,Native
13818,L48,N,Native
67472,CAN,N,Native
67472,L48,N,Native
67475,CAN,I,Introduced
67475,L48,N,Native
59998,CAN,I,Introduced
59998,CAN,N,Native
59998,HI,I,Introduced
59998,L48,I,Introduced
59998,L48,N,Native
59998,NAV,I,Introduced
59998,PB,I,Introduced
59998,PB,N,Native
59998,PR,I,Introduced
59998,VI,I,Introduced
16160,CAN,N,Native
16160,L48,N,Native
16066,CAN,N,Native
16066,L48,N,Native
16043,AK,N,Native
